conv1_pruning,conv2_pruning,conv3_pruning,conv4_pruning,conv5_pruning,conv1_bits,conv2_bits,conv3_bits,conv4_bits,conv5_bits,conv1_bram,conv2_bram,conv3_bram,conv4_bram,conv5_bram,brams,accuracy
18,33,72,72,135,6,6,8,6,8,3.5,6.0,16.5,12.5,30.5,69.0,0.455
18,33,72,72,126,6,6,8,6,8,3.5,6.0,16.5,12.5,28.5,67.0,0.474
18,33,72,69,135,6,6,8,6,6,3.5,6.0,16.5,12.0,23.0,61.0,0.445
18,33,72,69,132,6,6,8,6,6,3.5,6.0,16.5,12.0,22.5,60.5,0.4485
18,33,72,69,135,6,6,8,6,8,3.5,6.0,16.5,12.0,30.5,68.5,0.436
18,33,72,69,126,6,6,8,6,8,3.5,6.0,16.5,12.0,28.5,66.5,0.4495
18,33,72,72,135,6,6,8,8,6,3.5,6.0,16.5,16.5,23.0,65.5,0.46
18,33,72,72,132,6,6,8,8,6,3.5,6.0,16.5,16.5,22.5,65.0,0.4715
18,33,72,72,135,6,6,8,8,8,3.5,6.0,16.5,16.5,30.5,73.0,0.4575
18,33,72,72,126,6,6,8,8,8,3.5,6.0,16.5,16.5,28.5,71.0,0.48
18,33,72,63,135,6,6,8,8,6,3.5,6.0,16.5,14.5,23.0,63.5,0.4675
18,33,72,63,132,6,6,8,8,6,3.5,6.0,16.5,14.5,22.5,63.0,0.47
18,33,72,63,135,6,6,8,8,8,3.5,6.0,16.5,14.5,30.5,71.0,0.4615
18,33,72,63,126,6,6,8,8,8,3.5,6.0,16.5,14.5,28.5,69.0,0.464
18,33,63,72,135,6,6,8,6,6,3.5,6.0,14.5,12.5,23.0,59.5,0.379
18,33,63,72,132,6,6,8,6,6,3.5,6.0,14.5,12.5,22.5,59.0,0.394
18,33,63,72,135,6,6,8,6,8,3.5,6.0,14.5,12.5,30.5,67.0,0.388
18,33,63,72,126,6,6,8,6,8,3.5,6.0,14.5,12.5,28.5,65.0,0.424
18,33,63,69,135,6,6,8,6,6,3.5,6.0,14.5,12.0,23.0,59.0,0.374
18,33,63,69,132,6,6,8,6,6,3.5,6.0,14.5,12.0,22.5,58.5,0.387
18,33,63,69,135,6,6,8,6,8,3.5,6.0,14.5,12.0,30.5,66.5,0.38
18,33,63,69,126,6,6,8,6,8,3.5,6.0,14.5,12.0,28.5,64.5,0.4065
18,33,63,72,135,6,6,8,8,6,3.5,6.0,14.5,16.5,23.0,63.5,0.3625
18,33,63,72,132,6,6,8,8,6,3.5,6.0,14.5,16.5,22.5,63.0,0.3725
18,33,63,72,135,6,6,8,8,8,3.5,6.0,14.5,16.5,30.5,71.0,0.373
18,33,63,72,126,6,6,8,8,8,3.5,6.0,14.5,16.5,28.5,69.0,0.403
18,33,63,63,135,6,6,8,8,6,3.5,6.0,14.5,14.5,23.0,61.5,0.3875
18,33,63,63,132,6,6,8,8,6,3.5,6.0,14.5,14.5,22.5,61.0,0.394
18,33,63,63,135,6,6,8,8,8,3.5,6.0,14.5,14.5,30.5,69.0,0.3955
18,33,63,63,126,6,6,8,8,8,3.5,6.0,14.5,14.5,28.5,67.0,0.418
18,36,72,72,135,6,8,6,6,6,3.5,8.5,12.5,12.5,23.0,60.0,0.582
18,36,72,72,132,6,8,6,6,6,3.5,8.5,12.5,12.5,22.5,59.5,0.572
18,36,72,72,135,6,8,6,6,8,3.5,8.5,12.5,12.5,30.5,67.5,0.5765
18,36,72,72,126,6,8,6,6,8,3.5,8.5,12.5,12.5,28.5,65.5,0.564
18,36,72,69,135,6,8,6,6,6,3.5,8.5,12.5,12.0,23.0,59.5,0.5485
18,36,72,69,132,6,8,6,6,6,3.5,8.5,12.5,12.0,22.5,59.0,0.544
18,36,72,69,135,6,8,6,6,8,3.5,8.5,12.5,12.0,30.5,67.0,0.541
18,36,72,69,126,6,8,6,6,8,3.5,8.5,12.5,12.0,28.5,65.0,0.5295
18,36,72,72,135,6,8,6,8,6,3.5,8.5,12.5,16.5,23.0,64.0,0.5795
18,36,72,72,132,6,8,6,8,6,3.5,8.5,12.5,16.5,22.5,63.5,0.5765
18,36,72,72,135,6,8,6,8,8,3.5,8.5,12.5,16.5,30.5,71.5,0.58
18,36,72,72,126,6,8,6,8,8,3.5,8.5,12.5,16.5,28.5,69.5,0.5685
18,36,72,63,135,6,8,6,8,6,3.5,8.5,12.5,14.5,23.0,62.0,0.535
18,36,72,63,132,6,8,6,8,6,3.5,8.5,12.5,14.5,22.5,61.5,0.529
18,36,72,63,135,6,8,6,8,8,3.5,8.5,12.5,14.5,30.5,69.5,0.5355
18,36,72,63,126,6,8,6,8,8,3.5,8.5,12.5,14.5,28.5,67.5,0.5155
18,36,69,72,135,6,8,6,6,6,3.5,8.5,12.0,12.5,23.0,59.5,0.588
18,36,69,72,132,6,8,6,6,6,3.5,8.5,12.0,12.5,22.5,59.0,0.5845
18,36,69,72,135,6,8,6,6,8,3.5,8.5,12.0,12.5,30.5,67.0,0.588
18,36,69,72,126,6,8,6,6,8,3.5,8.5,12.0,12.5,28.5,65.0,0.5785
18,36,69,69,135,6,8,6,6,6,3.5,8.5,12.0,12.0,23.0,59.0,0.5675
18,36,69,69,132,6,8,6,6,6,3.5,8.5,12.0,12.0,22.5,58.5,0.567
18,36,69,69,135,6,8,6,6,8,3.5,8.5,12.0,12.0,30.5,66.5,0.567
18,36,69,69,126,6,8,6,6,8,3.5,8.5,12.0,12.0,28.5,64.5,0.5565
18,36,69,72,135,6,8,6,8,6,3.5,8.5,12.0,16.5,23.0,63.5,0.574
18,36,69,72,132,6,8,6,8,6,3.5,8.5,12.0,16.5,22.5,63.0,0.5705
18,36,69,72,135,6,8,6,8,8,3.5,8.5,12.0,16.5,30.5,71.0,0.576
18,36,69,72,126,6,8,6,8,8,3.5,8.5,12.0,16.5,28.5,69.0,0.5735
18,36,69,63,135,6,8,6,8,6,3.5,8.5,12.0,14.5,23.0,61.5,0.557
18,36,69,63,132,6,8,6,8,6,3.5,8.5,12.0,14.5,22.5,61.0,0.553
18,36,69,63,135,6,8,6,8,8,3.5,8.5,12.0,14.5,30.5,69.0,0.5575
18,36,69,63,126,6,8,6,8,8,3.5,8.5,12.0,14.5,28.5,67.0,0.5385
18,36,72,72,135,6,8,8,6,6,3.5,8.5,16.5,12.5,23.0,64.0,0.5825
18,36,72,72,132,6,8,8,6,6,3.5,8.5,16.5,12.5,22.5,63.5,0.5815
18,36,72,72,135,6,8,8,6,8,3.5,8.5,16.5,12.5,30.5,71.5,0.583
18,36,72,72,126,6,8,8,6,8,3.5,8.5,16.5,12.5,28.5,69.5,0.5755
18,36,72,69,135,6,8,8,6,6,3.5,8.5,16.5,12.0,23.0,63.5,0.565
18,36,72,69,132,6,8,8,6,6,3.5,8.5,16.5,12.0,22.5,63.0,0.56
18,36,72,69,135,6,8,8,6,8,3.5,8.5,16.5,12.0,30.5,71.0,0.5575
18,36,72,69,126,6,8,8,6,8,3.5,8.5,16.5,12.0,28.5,69.0,0.548
18,36,72,72,135,6,8,8,8,6,3.5,8.5,16.5,16.5,23.0,68.0,0.5855
18,36,72,72,132,6,8,8,8,6,3.5,8.5,16.5,16.5,22.5,67.5,0.5825
18,36,72,72,135,6,8,8,8,8,3.5,8.5,16.5,16.5,30.5,75.5,0.5825
18,36,72,72,126,6,8,8,8,8,3.5,8.5,16.5,16.5,28.5,73.5,0.577
18,36,72,63,135,6,8,8,8,6,3.5,8.5,16.5,14.5,23.0,66.0,0.5505
18,36,72,63,132,6,8,8,8,6,3.5,8.5,16.5,14.5,22.5,65.5,0.549
18,36,72,63,135,6,8,8,8,8,3.5,8.5,16.5,14.5,30.5,73.5,0.544
18,36,72,63,126,6,8,8,8,8,3.5,8.5,16.5,14.5,28.5,71.5,0.524
18,36,63,72,135,6,8,8,6,6,3.5,8.5,14.5,12.5,23.0,62.0,0.4235
18,36,63,72,132,6,8,8,6,6,3.5,8.5,14.5,12.5,22.5,61.5,0.4335
18,36,63,72,135,6,8,8,6,8,3.5,8.5,14.5,12.5,30.5,69.5,0.4395
18,36,63,72,126,6,8,8,6,8,3.5,8.5,14.5,12.5,28.5,67.5,0.455
18,36,63,69,135,6,8,8,6,6,3.5,8.5,14.5,12.0,23.0,61.5,0.4155
18,36,63,69,132,6,8,8,6,6,3.5,8.5,14.5,12.0,22.5,61.0,0.4205
18,36,63,69,135,6,8,8,6,8,3.5,8.5,14.5,12.0,30.5,69.0,0.428
18,36,63,69,126,6,8,8,6,8,3.5,8.5,14.5,12.0,28.5,67.0,0.4445
18,36,63,72,135,6,8,8,8,6,3.5,8.5,14.5,16.5,23.0,66.0,0.4055
18,36,63,72,132,6,8,8,8,6,3.5,8.5,14.5,16.5,22.5,65.5,0.406
18,36,63,72,135,6,8,8,8,8,3.5,8.5,14.5,16.5,30.5,73.5,0.4155
18,36,63,72,126,6,8,8,8,8,3.5,8.5,14.5,16.5,28.5,71.5,0.4285
18,36,63,63,135,6,8,8,8,6,3.5,8.5,14.5,14.5,23.0,64.0,0.404
18,36,63,63,132,6,8,8,8,6,3.5,8.5,14.5,14.5,22.5,63.5,0.4075
18,36,63,63,135,6,8,8,8,8,3.5,8.5,14.5,14.5,30.5,71.5,0.416
18,36,63,63,126,6,8,8,8,8,3.5,8.5,14.5,14.5,28.5,69.5,0.4205
18,27,72,72,135,6,8,6,6,6,3.5,6.5,12.5,12.5,23.0,58.0,0.2385
18,27,72,72,132,6,8,6,6,6,3.5,6.5,12.5,12.5,22.5,57.5,0.247
18,27,72,72,135,6,8,6,6,8,3.5,6.5,12.5,12.5,30.5,65.5,0.237
18,27,72,72,126,6,8,6,6,8,3.5,6.5,12.5,12.5,28.5,63.5,0.273
18,27,72,69,135,6,8,6,6,6,3.5,6.5,12.5,12.0,23.0,57.5,0.237
18,27,72,69,132,6,8,6,6,6,3.5,6.5,12.5,12.0,22.5,57.0,0.2495
18,27,72,69,135,6,8,6,6,8,3.5,6.5,12.5,12.0,30.5,65.0,0.2365
18,27,72,69,126,6,8,6,6,8,3.5,6.5,12.5,12.0,28.5,63.0,0.273
18,27,72,72,135,6,8,6,8,6,3.5,6.5,12.5,16.5,23.0,62.0,0.2345
18,27,72,72,132,6,8,6,8,6,3.5,6.5,12.5,16.5,22.5,61.5,0.2385
18,27,72,72,135,6,8,6,8,8,3.5,6.5,12.5,16.5,30.5,69.5,0.2385
18,27,72,72,126,6,8,6,8,8,3.5,6.5,12.5,16.5,28.5,67.5,0.271
18,27,72,63,135,6,8,6,8,6,3.5,6.5,12.5,14.5,23.0,60.0,0.2545
18,27,72,63,132,6,8,6,8,6,3.5,6.5,12.5,14.5,22.5,59.5,0.2675
18,27,72,63,135,6,8,6,8,8,3.5,6.5,12.5,14.5,30.5,67.5,0.2605
18,27,72,63,126,6,8,6,8,8,3.5,6.5,12.5,14.5,28.5,65.5,0.3
18,27,69,72,135,6,8,6,6,6,3.5,6.5,12.0,12.5,23.0,57.5,0.255
18,27,69,72,132,6,8,6,6,6,3.5,6.5,12.0,12.5,22.5,57.0,0.267
18,27,69,72,135,6,8,6,6,8,3.5,6.5,12.0,12.5,30.5,65.0,0.255
18,27,69,72,126,6,8,6,6,8,3.5,6.5,12.0,12.5,28.5,63.0,0.2925
18,27,69,69,135,6,8,6,6,6,3.5,6.5,12.0,12.0,23.0,57.0,0.254
18,27,69,69,132,6,8,6,6,6,3.5,6.5,12.0,12.0,22.5,56.5,0.267
18,27,69,69,135,6,8,6,6,8,3.5,6.5,12.0,12.0,30.5,64.5,0.2585
18,27,69,69,126,6,8,6,6,8,3.5,6.5,12.0,12.0,28.5,62.5,0.29
18,27,69,72,135,6,8,6,8,6,3.5,6.5,12.0,16.5,23.0,61.5,0.248
18,27,69,72,132,6,8,6,8,6,3.5,6.5,12.0,16.5,22.5,61.0,0.2565
18,27,69,72,135,6,8,6,8,8,3.5,6.5,12.0,16.5,30.5,69.0,0.251
18,27,69,72,126,6,8,6,8,8,3.5,6.5,12.0,16.5,28.5,67.0,0.272
18,27,69,63,135,6,8,6,8,6,3.5,6.5,12.0,14.5,23.0,59.5,0.261
18,27,69,63,132,6,8,6,8,6,3.5,6.5,12.0,14.5,22.5,59.0,0.27
18,27,69,63,135,6,8,6,8,8,3.5,6.5,12.0,14.5,30.5,67.0,0.2675
18,27,69,63,126,6,8,6,8,8,3.5,6.5,12.0,14.5,28.5,65.0,0.29
18,27,72,72,135,6,8,8,6,6,3.5,6.5,16.5,12.5,23.0,62.0,0.2405
18,27,72,72,132,6,8,8,6,6,3.5,6.5,16.5,12.5,22.5,61.5,0.2495
18,27,72,72,135,6,8,8,6,8,3.5,6.5,16.5,12.5,30.5,69.5,0.241
18,27,72,72,126,6,8,8,6,8,3.5,6.5,16.5,12.5,28.5,67.5,0.2735
18,27,72,69,135,6,8,8,6,6,3.5,6.5,16.5,12.0,23.0,61.5,0.2355
18,27,72,69,132,6,8,8,6,6,3.5,6.5,16.5,12.0,22.5,61.0,0.2495
18,27,72,69,135,6,8,8,6,8,3.5,6.5,16.5,12.0,30.5,69.0,0.2405
18,27,72,69,126,6,8,8,6,8,3.5,6.5,16.5,12.0,28.5,67.0,0.2735
18,27,72,72,135,6,8,8,8,6,3.5,6.5,16.5,16.5,23.0,66.0,0.2375
18,27,72,72,132,6,8,8,8,6,3.5,6.5,16.5,16.5,22.5,65.5,0.2465
18,27,72,72,135,6,8,8,8,8,3.5,6.5,16.5,16.5,30.5,73.5,0.238
18,27,72,72,126,6,8,8,8,8,3.5,6.5,16.5,16.5,28.5,71.5,0.2725
18,27,72,63,135,6,8,8,8,6,3.5,6.5,16.5,14.5,23.0,64.0,0.256
18,27,72,63,132,6,8,8,8,6,3.5,6.5,16.5,14.5,22.5,63.5,0.272
18,27,72,63,135,6,8,8,8,8,3.5,6.5,16.5,14.5,30.5,71.5,0.2605
18,27,72,63,126,6,8,8,8,8,3.5,6.5,16.5,14.5,28.5,69.5,0.2925
18,27,63,72,135,6,8,8,6,6,3.5,6.5,14.5,12.5,23.0,60.0,0.207
18,27,63,72,132,6,8,8,6,6,3.5,6.5,14.5,12.5,22.5,59.5,0.209
18,27,63,72,135,6,8,8,6,8,3.5,6.5,14.5,12.5,30.5,67.5,0.2075
18,27,63,72,126,6,8,8,6,8,3.5,6.5,14.5,12.5,28.5,65.5,0.2155
18,27,63,69,135,6,8,8,6,6,3.5,6.5,14.5,12.0,23.0,59.5,0.2025
18,27,63,69,132,6,8,8,6,6,3.5,6.5,14.5,12.0,22.5,59.0,0.2055
18,27,63,69,135,6,8,8,6,8,3.5,6.5,14.5,12.0,30.5,67.0,0.203
18,27,63,69,126,6,8,8,6,8,3.5,6.5,14.5,12.0,28.5,65.0,0.216
18,27,63,72,135,6,8,8,8,6,3.5,6.5,14.5,16.5,23.0,64.0,0.2055
18,27,63,72,132,6,8,8,8,6,3.5,6.5,14.5,16.5,22.5,63.5,0.205
18,27,63,72,135,6,8,8,8,8,3.5,6.5,14.5,16.5,30.5,71.5,0.2085
18,27,63,72,126,6,8,8,8,8,3.5,6.5,14.5,16.5,28.5,69.5,0.211
18,27,63,63,135,6,8,8,8,6,3.5,6.5,14.5,14.5,23.0,62.0,0.2045
18,27,63,63,132,6,8,8,8,6,3.5,6.5,14.5,14.5,22.5,61.5,0.204
18,27,63,63,135,6,8,8,8,8,3.5,6.5,14.5,14.5,30.5,69.5,0.209
18,27,63,63,126,6,8,8,8,8,3.5,6.5,14.5,14.5,28.5,67.5,0.221
15,36,72,72,135,6,6,6,6,6,3.0,6.5,12.5,12.5,23.0,57.5,0.334
15,36,72,72,132,6,6,6,6,6,3.0,6.5,12.5,12.5,22.5,57.0,0.3405
15,36,72,72,135,6,6,6,6,8,3.0,6.5,12.5,12.5,30.5,65.0,0.3375
15,36,72,72,126,6,6,6,6,8,3.0,6.5,12.5,12.5,28.5,63.0,0.3595
15,36,72,69,135,6,6,6,6,6,3.0,6.5,12.5,12.0,23.0,57.0,0.3515
15,36,72,69,132,6,6,6,6,6,3.0,6.5,12.5,12.0,22.5,56.5,0.357
15,36,72,69,135,6,6,6,6,8,3.0,6.5,12.5,12.0,30.5,64.5,0.351
15,36,72,69,126,6,6,6,6,8,3.0,6.5,12.5,12.0,28.5,62.5,0.3695
15,36,72,72,135,6,6,6,8,6,3.0,6.5,12.5,16.5,23.0,61.5,0.325
15,36,72,72,132,6,6,6,8,6,3.0,6.5,12.5,16.5,22.5,61.0,0.3355
15,36,72,72,135,6,6,6,8,8,3.0,6.5,12.5,16.5,30.5,69.0,0.3305
15,36,72,72,126,6,6,6,8,8,3.0,6.5,12.5,16.5,28.5,67.0,0.3555
15,36,72,63,135,6,6,6,8,6,3.0,6.5,12.5,14.5,23.0,59.5,0.3495
15,36,72,63,132,6,6,6,8,6,3.0,6.5,12.5,14.5,22.5,59.0,0.3595
15,36,72,63,135,6,6,6,8,8,3.0,6.5,12.5,14.5,30.5,67.0,0.358
15,36,72,63,126,6,6,6,8,8,3.0,6.5,12.5,14.5,28.5,65.0,0.386
15,36,69,72,135,6,6,6,6,6,3.0,6.5,12.0,12.5,23.0,57.0,0.3455
15,36,69,72,132,6,6,6,6,6,3.0,6.5,12.0,12.5,22.5,56.5,0.3575
15,36,69,72,135,6,6,6,6,8,3.0,6.5,12.0,12.5,30.5,64.5,0.3465
15,36,69,72,126,6,6,6,6,8,3.0,6.5,12.0,12.5,28.5,62.5,0.372
15,36,69,69,135,6,6,6,6,6,3.0,6.5,12.0,12.0,23.0,56.5,0.354
15,36,69,69,132,6,6,6,6,6,3.0,6.5,12.0,12.0,22.5,56.0,0.3585
